team,unit,role,vacated_balls,n_departed,departed,stay_def,stay_sur,weak_stayers,par,must_fill,vacated_value,upgrade_value,war_at_stake,need
CSK,bat,Middle,37,1,Matthew Short,31.470510284360984,13.39036688602562,"Dewald Brevis, Kartik Sharma",0.0966181493250403,1,3.574871525026493,18.08014339833537,0.2624850293740831,REFILL (capacity gone)
CSK,bat,Lower,48,1,Prashant Veer,-0.0,22.72162728232933,,0.0694254798334552,1,3.3324230320058525,0.0,0.0403930064485557,REFILL (capacity gone)
CSK,bowl,Powerplay,60,3,"Matt Henry, Matthew Short, Prashant Veer",5.735547045127674,24.547001655208483,"Akeal Hosein, Khaleel Ahmed",0.0194794533562792,1,1.1687672013767554,0.0,0.014166875168203,REFILL (capacity gone)
CSK,bowl,Middle,25,3,"Matt Henry, Matthew Short, Prashant Veer",-0.0,64.64630970561313,,-0.039064381117268,1,0.0,0.0,0.0,REFILL (capacity gone)
DC,bat,Opener,8,2,"Abishek Porel, Sahil Parakh",40.63086478790626,0.0,"KL Rahul, Pathum Nissanka",0.3312651701710359,0,2.6501213613682872,40.63086478790626,0.5246180139306006,UPGRADE (below par)
DC,bowl,Middle,39,1,Mukesh Kumar,69.72303096496847,35.45845630636024,"Kuldeep Yadav, T Natarajan, Vipraj Nigam",-0.039064381117268,1,0.0,34.26457465860823,0.4153281776800998,REFILL (capacity gone)
DC,bat,No3,11,2,"Karun Nair, Sahil Parakh",25.83267163549214,0.0,Nitish Rana,0.2641691295392757,0,2.905860424932033,25.83267163549214,0.3483458431566566,UPGRADE (below par)
DC,bat,Middle,13,1,Karun Nair,17.35069586270529,0.0,"Sameer Rizvi, Tristan Stubbs",0.0966181493250403,0,1.2560359412255244,17.35069586270529,0.2255361430779492,UPGRADE (below par)
DC,bowl,Powerplay,132,2,"Kyle Jamieson, Mukesh Kumar",41.766227671676496,29.73861940343328,Auqib Nabi,0.0194794533562792,1,2.5712878430288617,12.027608268243217,0.1769563165002676,REFILL (capacity gone)
DC,bat,Lower,33,1,Abishek Porel,-0.0,13.112557589050729,,0.0694254798334552,1,2.291040834504024,0.0,0.0277701919333821,REFILL (capacity gone)
DC,bowl,Death,48,2,"Kyle Jamieson, Mukesh Kumar",14.003500388232387,14.56228902365433,T Natarajan,0.0130740796359468,1,0.6275558225254471,0.0,0.0076067372427326,REFILL (capacity gone)
GT,bat,Middle,87,3,"Glenn Phillips, Nishant Sindhu, Rahul Tewatia",17.272648981066105,0.0,Washington Sundar,0.0966181493250403,1,8.40577899127851,17.272648981066105,0.3112536723920559,REFILL (capacity gone)
GT,bat,No3,0,0,,16.295305144401784,0.0,Jos Buttler,0.2641691295392757,0,0.0,16.295305144401784,0.1975188502351731,UPGRADE (below par)
GT,bat,Lower,62,1,Rahul Tewatia,-0.0,0.0,,0.0694254798334552,1,4.304379749674226,-0.0,0.0521742999960512,REFILL (capacity gone)
KKR,bat,Opener,159,2,"Ajinkya Rahane, Tim Seifert",9.405290400044946,0.0,Finn Allen,0.3312651701710359,1,52.67116205719471,9.405290400044946,0.7524418479665412,REFILL (capacity gone)
KKR,bat,No3,24,1,Ajinkya Rahane,38.734156264049055,0.0,Angkrish Raghuvanshi,0.2641691295392757,0,6.340059108942618,38.734156264049055,0.5463541257332324,UPGRADE (below par)
KKR,bat,Lower,68,1,Ramandeep Singh,-0.0,12.383438553556717,,0.0694254798334552,1,4.720932628674958,0.0,0.0572234258021207,REFILL (capacity gone)
LSG,bat,No3,140,1,Rishabh Pant,-0.0,0.0,,0.2641691295392757,1,36.9836781354986,-0.0,0.4482870077030133,REFILL (capacity gone)
LSG,bowl,Middle,72,2,"Anrich Nortje, Manimaran Siddharth",62.97221083809546,29.1611715101468,"Avesh Khan, Digvesh Rathi",-0.039064381117268,1,0.0,33.811039327948656,0.409830779732711,REFILL (capacity gone)
LSG,bat,Middle,32,1,Rishabh Pant,27.16577892837985,2.7813914878132624,"Ayush Badoni, Nicholas Pooran",0.0966181493250403,1,3.091780778401291,24.384387440566588,0.3330444632602167,REFILL (capacity gone)
LSG,bat,Opener,9,1,Rishabh Pant,24.47774037127572,0.0,"Aiden Markram, Mitchell Marsh",0.3312651701710359,0,2.9813865315393238,24.47774037127572,0.3328379018523035,UPGRADE (below par)
LSG,bowl,Death,30,2,"Anrich Nortje, Manimaran Siddharth",-0.0,22.67103981554937,,0.0130740796359468,1,0.3922223890784044,0.0,0.0047542107767079,REFILL (capacity gone)
MI,bat,Opener,86,2,"Danish Malewar, Quinton de Kock",-0.0,72.96048635688092,,0.3312651701710359,1,28.488804634709087,0.0,0.3453188440570798,REFILL (capacity gone)
MI,bat,No3,0,0,,27.616645522549184,0.0,"Naman Dhir, Suryakumar Yadav",0.2641691295392757,0,0.0,27.616645522549184,0.3347472184551416,UPGRADE (below par)
MI,bowl,Middle,162,4,"Deepak Chahar, Hardik Pandya, Mitchell Santner, Trent Boult",31.778999615719165,18.719057807517395,"AM Ghazanfar, Shardul Thakur",-0.039064381117268,1,0.0,13.05994180820177,0.1583023249479002,REFILL (capacity gone)
MI,bat,Middle,66,1,Hardik Pandya,12.012935342453964,27.35628592851745,Suryakumar Yadav,0.0966181493250403,1,6.376797855452662,0.0,0.0772945194600322,REFILL (capacity gone)
MI,bat,Lower,64,3,"Hardik Pandya, Mitchell Santner, Robin Minz",-0.0,0.0,,0.0694254798334552,1,4.443230709341137,-0.0,0.0538573419314077,REFILL (capacity gone)
MI,bowl,Powerplay,163,4,"Deepak Chahar, Hardik Pandya, Mitchell Santner, Trent Boult",7.675283737510149,7.351629649765181,AM Ghazanfar,0.0194794533562792,1,3.175150897073519,0.323654087744968,0.0424097573917392,REFILL (capacity gone)
MI,bowl,Death,69,4,"Deepak Chahar, Hardik Pandya, Mitchell Santner, Trent Boult",-0.0,4.133207254967507,,0.0130740796359468,1,0.9021114948803302,0.0,0.0109346847864282,REFILL (capacity gone)
PBKS,bowl,Middle,48,3,"Lockie Ferguson, Xavier Bartlett, Yash Thakur",41.72151547589007,4.799876440700473,"Marco Jansen, Vijaykumar Vyshak, Yuzvendra Chahal",-0.039064381117268,1,0.0,36.9216390351896,0.4475350186083587,REFILL (capacity gone)
PBKS,bowl,Powerplay,113,3,"Lockie Ferguson, Xavier Bartlett, Yash Thakur",14.578901674328842,2.9606666562615587,Marco Jansen,0.0194794533562792,1,2.201178229259556,11.618235018067285,0.1675080393615374,REFILL (capacity gone)
PBKS,bowl,Death,91,3,"Lockie Ferguson, Xavier Bartlett, Yash Thakur",9.646110204988146,1.5322713958819492,Marco Jansen,0.0130740796359468,1,1.18974124687116,8.113838809106197,0.11277066734518,REFILL (capacity gone)
RCB,bowl,Middle,24,1,Abhinandan Singh,29.27698375654128,22.204743828212948,Romario Shepherd,-0.039064381117268,1,0.0,7.0722399283283295,0.0857241203433736,REFILL (capacity gone)
RCB,bowl,Powerplay,24,1,Abhinandan Singh,6.470423894548511,97.95691798174974,Rasikh Salam,0.0194794533562792,1,0.4675068805507021,0.0,0.0056667500672812,REFILL (capacity gone)
RR,bat,Middle,59,1,Shimron Hetmyer,-0.0,18.899704179278025,,0.0966181493250403,1,5.70047081017738,0.0,0.0690966158809379,REFILL (capacity gone)
RR,bowl,Powerplay,102,3,"Ravi Bishnoi, Sandeep Sharma, Tushar Deshpande",21.291651089717643,25.736730270569943,Nandre Burger,0.0194794533562792,1,1.986904242340484,0.0,0.0240836877859452,REFILL (capacity gone)
RR,bowl,Death,106,3,"Ravi Bishnoi, Sandeep Sharma, Tushar Deshpande",5.256003154168083,13.194365175749583,Brijesh Sharma,0.0130740796359468,1,1.385852441410362,0.0,0.0167982114110346,REFILL (capacity gone)
RR,bowl,Middle,169,3,"Ravi Bishnoi, Sandeep Sharma, Tushar Deshpande",7.356433421571243,31.00938791319524,"Brijesh Sharma, Nandre Burger",-0.039064381117268,1,0.0,0.0,0.0,REFILL (capacity gone)
SRH,bowl,Powerplay,48,2,"Harshal Patel, Jaydev Unadkat",3.455042240574984,35.41651479984986,Nitish Kumar Reddy,0.0194794533562792,1,0.9350137611014044,0.0,0.0113335001345624,REFILL (capacity gone)
SRH,bowl,Death,33,2,"Harshal Patel, Jaydev Unadkat",-0.0,20.46742454827416,,0.0130740796359468,1,0.4314446279862448,0.0,0.0052296318543787,REFILL (capacity gone)
SRH,bowl,Middle,54,2,"Harshal Patel, Jaydev Unadkat",11.031248990361206,35.92564423751745,"Harsh Dubey, Shivang Kumar",-0.039064381117268,1,0.0,0.0,0.0,REFILL (capacity gone)
